Country,PTS,# of Gays,WWins,DDraws,LLosses,GF,GA,GD,Round of 16?,Quarterfinal?,Semifinal?,Final?,Winner?,Round Score,All Goals Scored,Adjusted Score
Argentina,1,6,0,1,2,2,5,-3,,,,,,0,2,1
Australia,6,13,2,0,1,7,3,4,2,0,Y,,,6,9,7.2
Brazil,4,9,1,1,1,5,2,3,,,,,,0,5,2.8
Canada,4,4,1,1,1,2,5,-3,,,,,,0,2,1.6
China,3,0,1,0,2,2,7,-5,,,,,,0,2,1.4
Colombia,6,3,2,0,1,4,2,2,1,1,,,,3,6,4.8
Costa Rica,0,2,0,0,3,1,8,-7,,,,,,0,1,0.4
Denmark,6,2,2,0,1,3,1,2,0,,,,,1,3,2.8
England,9,6,3,0,0,8,1,7,0,2,Y,,,6,10,8.2
France,7,2,2,1,0,8,4,4,4,0,,,,3,12,7.4
Germany,4,6,1,1,1,8,3,5,,,,,,0,8,4
Haiti,0,0,0,0,3,0,4,-4,,,,,,0,0,0
Italy,3,4,1,0,2,3,8,-5,,,,,,0,3,1.8
Jamaica,5,1,1,2,0,1,0,1,0,,,,,1,1,1.8
Japan,9,0,3,0,0,11,0,11,3,1,,,,3,15,9
Morocco,6,1,2,0,1,2,6,-4,0,,,,,1,2,2.4
Netherlands,7,7,2,1,0,9,1,8,2,1,,,,3,12,7.4
New Zealand,4,4,1,1,1,1,1,0,,,,,,0,1,1.2
Nigeria,5,0,1,2,0,3,2,1,0,,,,,1,3,2.6
Norway,4,5,1,1,1,6,1,5,1,,,,,1,7,4
Panama,0,0,0,0,3,3,11,-8,,,,,,0,3,1.2
Philippines,3,3,1,0,2,1,8,-7,,,,,,0,1,1
Portugal,4,1,1,1,1,2,1,1,,,,,,0,2,1.6
Republic of Ireland,1,10,0,1,2,1,3,-2,,,,,,0,1,0.6
South Africa,4,2,1,1,1,6,6,0,0,,,,,1,6,3.6
South Korea,1,0,0,1,2,1,4,-3,,,,,,0,1,0.6
Spain,6,6,2,0,1,8,4,4,5,2,Y,,,6,15,9.6
Sweden,9,8,3,0,0,9,1,8,0,2,Y,,,6,11,8.6
Switzerland,5,4,1,2,0,2,0,2,1,,,,,1,3,2.6
United States,5,3,1,2,0,4,1,3,0,,,,,1,4,3
Vietnam,0,0,0,0,3,0,12,-12,,,,,,0,0,0
Zambia,3,0,1,0,2,3,11,-8,,,,,,0,3,1.8
